Bedrock,Obar,1975,APR,37.10886,-116.0288,-568.8,UG-S,WR,,,
Bedrock,Tybo,1975,MAY,37.22078,-116.47416,-765.05,UG-S,WR,,,
Bedrock,Stilton,1975,JUN,37.3401,-116.5229,-731.52,UG-S,WR,260,,
Bedrock,Mizzen,1975,JUN,37.09483,-116.03611,-637.18,UG-S,WR,,,
Bedrock,Alviso,1975,JUN,37.11178,-116.0737,-183,UG-S,SE,,,
Bedrock,Futtock,1975,JUN,37.06564,-116.02196,-186.56,UG-S,SE,,,
Bedrock,Mast,1975,JUN,37.35035,-116.32022,-910.7,UG-S,WR,,,
Bedrock,Camembert,1975,JUN,37.27893,-116.36858,-1310.64,UG-S,WR,210,,
Anvil,Marsh,1975,SEP,37.02365,-116.02831,-427.21,UG-S,WR,,,
Anvil,Husky Pup,1975,OCT,37.22164,-116.17969,-327.96,UG-T,WE,,,
Anvil,Kasseri,1975,OCT,37.29005,-116.41155,-1264.92,UG-S,WR,170,,
Anvil,Deck,1975,NOV,37.02031,-116.02063,-326.14,UG-S,WR,,,
Anvil,Inlet,1975,NOV,37.22496,-116.36756,-818.33,UG-S,WR,,,
Anvil,Leyden,1975,NOV,37.11726,-116.01888,-326.11,UG-S,WR,350,,
Anvil,Chiberta,1975,DEC,37.12765,-116.06157,-716,UG-S,WR,,,
Anvil,Muenster,1976,JAN,37.29655,-116.33319,-1452.4,UG-S,WR,380,88 Ci,
Anvil,Keelson,1976,FEB,37.06926,-116.03016,-639.62,UG-S,WR,240,,
Anvil,Esrom,1976,FEB,37.10659,-116.03742,-654.6,UG-S,WR,,,
Anvil,Fontina,1976,FEB,37.27141,-116.48844,-1219,UG-S,WR,,,
Anvil,Cheshire,1976,FEB,37.24264,-116.42021,-1167,UG-S,WR,150,,
Anvil,Shallows,1976,FEB,37.02852,-116.01577,-244.85,UG-S,WR,,44 Ci,
Anvil,Estuary,1976,MAR,37.30996,-116.36422,-856.79,UG-S,WR,,,
Anvil,Colby,1976,MAR,37.30599,-116.47148,-1273.4,UG-S,WR,,,
Anvil,Pool,1976,MAR,37.25589,-116.32858,-881.18,UG-S,WR,260,,
Anvil,Strait,1976,MAR,37.10728,-116.05248,-782.42,UG-S,WR,,,
Anvil,Mighty Epic,1976,MAY,37.2091,-116.2125,-396.24,UG-T,WE,,,
Anvil,Rivoli,1976,MAY,37.1372,-116.06658,-199.64,UG-S,WR,,,
Anvil,Billet,1976,JUL,37.07537,-116.04382,-636.57,UG-S,WR,,,
Fulcrum,Gouda,1976,OCT,37.13456,-116.06228,-200.1,UG-S,WR,,,
Fulcrum,Sprit,1976,NOV,37.03595,-116.01742,-183.18,UG-S,WR,70,,
Fulcrum,Chevre,1976,NOV,37.17171,-116.05267,-317.3,UG-S,WR,,,
Fulcrum,Redmud,1976,DEC,37.07926,-116.00162,-426.72,UG-S,WR,170,,
Fulcrum,Asiago,1976,DEC,37.12391,-116.06746,-330.8,UG-S,WR,,,
Fulcrum,Sutter,1976,DEC,37.1519,-116.06343,-200.3,UG-S,WR,350,,
Fulcrum,Rudder,1976,DEC,37.10049,-116.03646,-638.56,UG-S,WR,80,,
Fulcrum,Cove,1977,FEB,37.007,-116.032,,UG-S,WR,160,25 Ci,
Fulcrum,Oarlock,1977,FEB,37.01349,-116.02857,-317.6,UG-S,WR,,,
Fulcrum,Dofino,1977,MAR,37.17619,-116.05295,-182.88,UG-S,WR,,15 Ci,
Fulcrum,Dofino-Lawton,1977,MAR,37.17619,-116.05295,-282,UG-S,WR,320,,
Fulcrum,Marsilly,1977,APR,37.12023,-116.06228,-689.73,UG-S,WR,,,
Fulcrum,Bulkhead,1977,APR,37.09479,-116.02788,-594.36,UG-S,WR,,,
Fulcrum,Crewline,1977,MAY,37.09433,-116.04486,-564.18,UG-S,WR,,7 Ci,
Fulcrum,Forefoot,1977,JUN,37.05494,-116.02496,-193.55,UG-S,WR,,,
Fulcrum,Carnelian,1977,JUL,37.09758,-116.10397,-208,UG-S,WR,,,
Fulcrum,Strake,1977,AUG,37.08657,-116.00687,-517.55,UG-S,WR,,0.8 Ci,
Fulcrum,Gruyere,1977,AUG,37.14516,-116.04909,-206.96,UG-S,WR,,3 Ci,
Fulcrum,Gruyere-Gradino,1977,AUG,37.14516,-116.04909,-320,UG-S,WR,,,
Fulcrum,Flotost,1977,AUG,37.14672,-116.06311,-274.93,UG-S,WR,,,
Fulcrum,Scupper,1977,AUG,37.01762,-116.03161,-449.58,UG-S,WR,260,,
Fulcrum,Scantling,1977,AUG,37.11003,-116.05451,-701.04,UG-S,WR,150,0.9 Ci,
Fulcrum,Ebbtide,1977,SEP,37.03279,-116.04314,-379.48,UG-S,WR,230,,
Fulcrum,Coulommiers,1977,SEP,37.15117,-116.06756,-530.35,UG-S,WR,170,,
Cresset,Bobstay,1977,OCT,37.0076,-116.0167,-381.3,UG-S,WR,,,
Cresset,Hybla Gold,1977,NOV,37.1878,-116.213,-384.99,UG-T,WE,280,,
Cresset,Sandreef,1977,NOV,37.07211,-116.05001,-700.74,UG-S,WR,200,,
Cresset,Seamount,1977,NOV,37.02061,-116.02508,-370.09,UG-S,WR,100,1 Ci,
Cresset,Rib,1977,DEC,37.01755,-116.01791,-212.84,UG-S,WR,300,1.3 kCi,
Cresset,Farallones,1977,DEC,37.13587,-116.08603,-668,UG-S,WR,,36 Ci,
Cresset,Campos,1978,FEB,37.12612,-116.03174,-319.6,UG-S,WR,,,
Cresset,Reblochon,1978,FEB,37.12368,-116.06383,-658.4,UG-S,WR,,,
Cresset,Karab,1978,MAR,37.08517,-116.08162,-331,UG-S,WR,,,
Cresset,Topmast,1978,MAR,37.09886,-116.01962,-457.81,UG-S,WR,230,,
Cresset,Iceberg,1978,MAR,37.1018,-116.0511,-640.29,UG-S,WR,,,
Cresset,Backbeach,1978,APR,37.23349,-116.36847,-671.78,UG-S,WR,,,
Cresset,Asco,1978,APR,37.15457,-116.03476,-183,UG-S,SE,,,
Cresset,Transom,1978,MAY,37.08778,-116.05263,-640,UG-S,WR,,,
Cresset,Jackpots,1978,JUN,37.02065,-116.03193,-304.22,UG-S,WR,80,,
Cresset,Satz,1978,JUL,37.11179,-116.07713,-315,UG-S,WR,200,,
Cresset,Lowball,1978,JUL,37.0787,-116.0438,-564.88,UG-S,WR,,,
Cresset,Panir,1978,AUG,37.27593,-116.35734,-681,UG-S,WR,,,
Cresset,Diablo Hawk,1978,SEP,37.2088,-116.2108,-388,UG-T,WE,,,
Cresset,Cremino,1978,SEP,37.17101,-116.08716,-210,UG-S,WR,,,
Cresset,Cremino-Caerphilly,1978,SEP,37.17101,-116.08716,,UG-S,WR,240,,
Cresset,Draughts,1978,SEP,37.07387,-116.01983,-441.59,UG-S,WR,320,,
Cresset,Rummy,1978,SEP,37.0798,-116.05132,-639.78,UG-S,WR,,,
Quicksilver,Emmenthal,1978,NOV,37.28794,-116.29749,-576.1,UG-S,WR,80,,
Quicksilver,Concentration,1978,DEC,37.02967,-116.02413,-247.59,UG-S,WR,,,
Quicksilver,Farm,1978,DEC,37.27339,-116.41028,-689,UG-S,WR,,,
Quicksilver,Baccarat,1979,JAN,37.1054,-116.0117,-326.44,UG-S,WR,240,,
Quicksilver,Quinella,1979,FEB,37.10248,-116.05484,-579.1,UG-S,WR,90,,
Quicksilver,Kloster,1979,FEB,37.15201,-116.07184,-536.4,UG-S,WR,,,
Quicksilver,Memory,1979,MAR,37.02783,-116.03975,-364.85,UG-S,WR,150,,
Quicksilver,Freezeout,1979,MAY,36.99818,-116.01774,-335.3,UG-S,WR,,,
Quicksilver,Pepato,1979,JUN,37.28969,-116.45525,-681,UG-S,WR,,,
Quicksilver,Chess,1979,JUN,37.10763,-116.01509,-335.3,UG-S,WR,250,,
Quicksilver,Fajy,1979,JUN,37.1433,-116.08752,-536,UG-S,WR,170,,
Quicksilver,Burzet,1979,AUG,37.08395,-116.06989,-450,UG-S,WR,210,,
Quicksilver,Offshore,1979,AUG,37.01475,-116.00801,-396.54,UG-S,WR,300,,
Quicksilver,Hearts,1979,SEP,37.08811,-116.05278,-640.02,UG-S,WR,120,,
Quicksilver,Pera,1979,SEP,37.155,-116.039,-200,UG-S,WR,,,
Quicksilver,Sheepshead,1979,SEP,37.22906,-116.36405,-640,UG-S,WR,150,,
Tinderbox,Backgammon,1979,NOV,36.99396,-116.02411,-228.72,UG-S,WR,,50 Ci,
Tinderbox,Azul,1979,DEC,37.13737,-116.06307,-205,UG-S,WR,100,,
Tinderbox,Tarko,1980,FEB,37.12655,-116.08851,-369,UG-S,WR,,,
Tinderbox,Norbo,1980,MAR,37.17994,-116.08311,-271,UG-S,WR,170,,
Tinderbox,Liptauer,1980,APR,37.14988,-116.08226,-417,UG-S,WR,150,,
Tinderbox,Pyramid,1980,APR,37.10112,-116.03053,-579.1,UG-S,WR,200,1 kCi,
Tinderbox,Canfield,1980,MAY,37.05601,-116.01895,-350.5,UG-S,WR,,,
Tinderbox,Flora,1980,MAY,37.00306,-116.03139,-335.6,UG-S,WR,,,
Tinderbox,Kash,1980,JUN,37.28166,-116.45385,-645,UG-S,WR,140,,
Tinderbox,Huron King,1980,JUN,37.0233,-116.0341,-320.04,UG-S,WE,,45 Ci,
Tinderbox,Tafi,1980,JUL,37.25633,-116.4774,-680,UG-S,WR,150,,
Tinderbox,Verdello,1980,JUL,37.01304,-116.02275,-365.76,UG-S,WR,90,2.2 kCi,
Tinderbox,Bonarda,1980,SEP,37.05616,-116.04809,-381,UG-S,WR,,0.3 Ci,
Tinderbox,Riola,1980,SEP,37.11586,-116.06457,-424,UG-S,WR,,,
Guardian,Miners Iron,1980,OCT,37.2113,-116.2054,-389.5,UG-T,WE,80,,
Guardian,Dauphin,1980,NOV,37.11149,-116.01866,-320,UG-S,WR,150,,
Guardian,Baseball,1981,JAN,37.08709,-116.04475,-563.88,UG-S,WR,,,
Guardian,Clairette,1981,FEB,37.01089,-116.03218,-353.6,UG-S,WR,,3 Ci,
Guardian,Seco,1981,FEB,37.1819,-116.08425,-200,UG-S,WR,,,
Guardian,Vide,1981,APR,37.17733,-116.08476,-323,UG-S,WR,,,
Guardian,Aligote,1981,MAY,37.10184,-116.00406,-320,UG-S,WR,,,
Guardian,Harzer,1981,JUN,37.3034,-116.3256,-637,UG-S,WR,110,,
Guardian,Niza,1981,JUL,37.1286,-116.03378,-341,UG-S,WR,,,
Guardian,Pineau,1981,JUL,37.0887,-116.01937,-207.26,UG-S,WR,,700 Ci,
Guardian,Havarti,1981,AUG,37.15374,-116.03508,-200,UG-S,WR,100,200 Ci,
Guardian,Islay,1981,AUG,37.16042,-116.06652,-294,UG-S,WR,30,,
Guardian,Trebbiano,1981,SEP,37.05809,-116.04807,-305.4,UG-S,WR,,,
Guardian,Cernada,1981,SEP,37.00852,-116.0238,-213.2,UG-S,WR,260,,
Praetorian,Paliza,1981,OCT,37.0816,-116.0088,-472.1,UG-S,WR,200,,
Praetorian,Tilci,1981,NOV,37.07632,-116.06849,-445,UG-S,WR,170,0.3 Ci,
Praetorian,Akavi,1981,DEC,37.14843,-116.07084,-494,UG-S,WR,,,
Praetorian,Caboc,1981,DEC,37.1145,-116.1229,-335,UG-S,WR,300,,
Praetorian,Jornada,1982,JAN,37.09134,-116.05123,-638.9,UG-S,WR,,,
Praetorian,Molbo,1982,FEB,37.22433,-116.46265,-638,UG-S,WR,,,
Praetorian,Hosta,1982,FEB,37.348,-116.3161,-639.5,UG-S,WR,190,,
Praetorian,Tenaja,1982,APR,37.01682,-116.00987,-356.3,UG-S,WR,,<1 Ci,
Praetorian,Kryddost,1982,MAY,37.11684,-116.12691,-335,UG-S,WR,190,,
Praetorian,Bouschet,1982,MAY,37.06906,-116.04546,-563.9,UG-S,WR,,,
Praetorian,Kesti,1982,JUN,37.11423,-116.01658,-289,UG-S,WR,,0.1 Ci,
Praetorian,Nebbiolo,1982,JUN,37.23622,-116.37018,-639.5,UG-S,WR,60,,
Praetorian,Monterey,1982,JUL,37.10231,-116.07497,-400,2UG-S,WR,320,,
Praetorian,Atrisco,1982,AUG,37.0842,-116.00655,-639.78,UG-S,WR,,,
Praetorian,Queso,1982,AUG,37.18979,-116.04768,-216,0UG-S,WR,,280 Ci,
Praetorian,Cerro,1982,SEP,37.01974,-116.01566,-228.6,0UG-S,WR,,,
Praetorian,Huron Landing,1982,SEP,37.212,-116.2068,-408,2UG-T,WE,,2 Ci,
Praetorian,Diamond Ace,1982,SEP,37.21202,-116.20677,-407.26,UG-T,WE,,,
Praetorian,Frisco,1982,SEP,37.17475,-116.08779,-451,4UG-S,WR,,,
Praetorian,Borrego,1982,SEP,37.09131,-116.04489,-563.3,7UG-S,WR,,78 Ci,
Phalanx,Seyval,1982,NOV,37.0237,-116.0321,-366.06,UG-S,WR,,,
Phalanx,Manteca,1982,DEC,37.0302,-116.0719,-413,UG-S,WR,,0.2 Ci,
