295,1968_,280_1968,JAN,7,03:46:59.9,STS-D,49.75389,78.04694,
296,1968_,281_1968,APR,24,10:35:59.7,STS-D,49.84167,78.10722,
297,1968_,282_Pamuk_1968,MAY,21,03:59:12.0,-UZ,38.91800,65.03200,
298,1968_,283_1968,MAY,23,00:00:00.0,STS-D,49.83333,78.09278,
299,1968_,284_1968,JUN,11,03:05:59.7,STS-D,49.79861,78.15000,
300,1968_,285_1968,JUN,19,05:05:59.8,STS-B,49.98025,78.98550,
301,1968_,286_Galit_1968,JUL,1,04:02:00.5,-KZ-BA,47.90900,47.91200,
302,1968_,287_1968,JUL,12,12:08:00.0,STS-D,49.75556,78.09917,
303,1968_,287_1968,JUL,12,12:08:00.0,STS-D,49.75556,78.09917,
304,1968_,288_1968,AUG,20,04:05:59.6,STS-D,49.82056,78.08111,
305,1968_,288_1968,AUG,20,04:05:59.6,STS-D,49.82056,78.08111,
306,1968_,289_1968,SEP,5,04:05:59.6,STS-D,49.73806,78.08083,
307,1968_,290_Argon_1968,SEP,29,03:43:00.0,STS-D,49.80417,78.10556,
308,1968_,291_Telkem-1_1968,OCT,21,03:52:00.0,STS-T,49.72786,78.48628,
309,1968_,292_1968,OCT,29,03:54:00.0,STS-D,49.83333,78.09278,
310,1968_,293_1968,NOV,7,10:02:05.49,NZ-NS,73.38700,54.85800,
311,1968_,293_1968,NOV,7,10:02:05.5,NZ-NS,73.38700,54.85800,
312,1968_,293_1968,NOV,7,10:02:05.5,NZ-NS,73.38700,54.85800,
313,1968_,294_1968,NOV,9,02:54:00.1,STS-D,49.79972,78.14444,
314,1968_,295_Telkem-2_1968,NOV,12,07:30:00.0,STS-T,49.71200,78.46100,
315,1968_,295_Telkem-2_1968,NOV,12,07:30:00,STS-T,49.70000,78.50000,
316,1968_,295_Telkem-2_1968,NOV,12,07:30:00,STS-T,49.70000,78.50000,
317,1968_,296_1968,DEC,18,05:01:59.7,STS-D,49.74083,78.08778,
318,1969_,297_1969,MAR,7,08:26:59.8,STS-D,49.82833,78.05972,
319,1969_,298_1969,APR,4,04:57:00.0,STS-D,49.75333,78.05361,
320,1969_,299_1969,APR,13,00:00:00.0,STS-D,49.73556,78.10472,
321,1969_,300_1969,MAY,16,04:02:59.7,STS-D,49.76778,78.08167,
322,1969_,301_1969,MAY,31,05:01:59.4,STS-SU,49.95031,77.69422,
323,1969_,302_1969,JUL,4,02:46:59.6,STS-D,49.75417,78.10917,
324,1969_,302_1969,JUL,4,02:46:59.6,STS-D,49.75417,78.10917,
325,1969_,303_1969,JUL,23,02:47:00.2,STS-D,49.81972,78.13722,
326,1969_,304_Grifon-1_1969,SEP,2,04:59:58.6,-RU-P,57.22000,55.39300,
327,1969_,305_Grifon-2_1969,SEP,8,04:59:58.7,-RU-P,57.22000,55.41700,
328,1969_,306_1969,SEP,11,04:02:00.0,STS-D,49.77778,77.98639,
329,1969_,306_1969,SEP,11,04:02:00.0,STS-D,49.77778,77.98639,
330,1969_,307_1969,SEP,26,06:59:58.1,-RU,45.84800,42.60000,
331,1969_,308_1969,OCT,1,04:02:59.9,STS-D,49.78639,78.10806,
332,1969_,308_1969,OCT,1,04:02:59.9,STS-D,49.78639,78.10806,
333,1969_,309_1969,OCT,14,07:00:06.61,NZ-NS,73.39000,54.78700,
334,1969_,309_1969,OCT,14,07:00:06.6,NZ-NS,73.39000,54.78700,
335,1969_,309_1969,OCT,14,07:00:07,NZ-NS,73.40000,54.80000,
336,1969_,310_1969,OCT,30,00:00:00.0,STS-D,49.84417,78.11556,
337,1969_,311_1969,NOV,27,05:02:00.0,STS-D,49.83667,78.05972,
338,1969_,312_1969,NOV,30,03:32:59.7,STS-B,49.92428,78.95575,
339,1969_,313_Say-Utes-1_1969,DEC,6,07:02:59.9,-KZ-MA,43.86700,54.80000,
340,1969_,314_1969,DEC,28,03:47:00.2,STS-SU,49.93733,77.71422,
341,1969_,315_1969,DEC,29,04:02:00.0,STS-D,49.73222,78.10444,
342,1970_,316_1970,JAN,29,07:03:00.0,STS-D,49.79222,78.11306,
343,1970_,316_1970,JAN,29,07:03:00.0,STS-D,49.79222,78.11306,
344,1970_,316_1970,JAN,29,07:03:00.0,STS-D,49.79222,78.11306,
345,1970_,317_1970,FEB,18,00:00:00.0,STS-D,49.73083,78.10250,
346,1970_,318_1970,MAR,27,05:02:59.6,STS-D,49.74444,78.00333,
347,1970_,319_1970,MAY,27,04:03:00.0,STS-D,49.73139,78.10111,
348,1970_,320_Magistral_1970,JUN,25,04:59:55.5,-RU-O,52.20000,55.70000,
349,1970_,321_1970,JUN,28,01:58:00.0,STS-D,49.79333,78.11306,
350,1970_,322_1970,JUN,28,01:58,STS-D,49.78222,78.05333,
351,1970_,322_1970,JUN,28,01:58,STS-D,49.78222,78.05333,
352,1970_,323_1970,JUL,21,03:02:59.7,STS-SU,49.95242,77.67289,
353,1970_,324_1970,JUL,24,03:57:00.0,STS-D,49.81361,78.13222,
354,1970_,325_1970,SEP,6,04:03,STS-D,49.78889,77.99750,
355,1970_,326_1970,SEP,6,04:02:59.9,STS-D,49.75250,78.00528,
356,1970_,327_1970,OCT,14,05:59:57.57,NZ-NS,73.30400,55.02700,
357,1970_,327_1970,OCT,14,05:59:57.6,NZ-NS,73.30400,55.02700,
358,1970_,327_1970,OCT,14,05:59:57.6,NZ-NS,73.30400,55.02700,
359,1970_,328_1970,NOV,4,06:02:59.8,STS-SU,49.98922,77.76244,
360,1970_,329_Say-Utes-2_1970,DEC,12,07:00:59.8,-KZ-MA,43.85000,54.80000,
361,1970_,330_1970,DEC,17,07:01:00.0,STS-D,49.75194,78.10167,
362,1970_,331_Say-Utes-3_1970,DEC,23,07:00:59.8,-KZ-MA,44.02500,54.93300,
363,1971_,332_1971,JAN,29,05:03:00.0,STS-D,49.80528,78.16861,
364,1971_,333_1971,MAR,22,04:33:00.3,STS-D,49.79333,78.11306,
365,1971_,334_1971,MAR,22,04:33,STS-D,49.77444,78.08278,
366,1971_,335_Taiga_1971,MAR,23,06:59:58.4,-RU-P,61.40000,56.20000,
367,1971_,335_Taiga_1971,MAR,23,06:59:58,-RU-P,61.40000,56.20000,
368,1971_,335_Taiga_1971,MAR,23,06:59:58,-RU-P,61.40000,56.20000,
369,1971_,336_1971,APR,9,02:33:00.0,STS-D,49.83222,78.03861,
370,1971_,337_1971,APR,25,03:32:59.9,STS-D,49.78028,78.03667,
371,1971_,338_1971,MAY,25,04:03:00.4,STS-D,49.80417,78.14500,
372,1971_,339_1971,JUN,6,04:02:59.7,STS-SU,49.97542,77.66028,
373,1971_,340_1971,JUN,19,04:04:00.1,STS-SU,49.96903,77.64081,
374,1971_,341_1971,JUN,30,03:56:59.8,STS-B,49.94600,78.98047,
375,1971_,342_Globus-4_1971,JUL,2,17:00:01.1,-RU,67.28300,63.46700,
376,1971_,343_Globus-3_1971,JUL,10,17:00:01.4,-RU,64.16700,55.26700,
377,1971_,344_Globus-1_1971,SEP,19,11:00:01.1,-RU,57.50800,42.64300,
378,1971_,345_1971,SEP,27,05:59:55.75,NZ-NS,73.39300,54.92000,
379,1971_,345_1971,SEP,27,05:59:55.8,NZ-NS,73.39300,54.92000,
380,1971_,345_1971,SEP,27,05:59:55.8,NZ-NS,73.39300,54.92000,
381,1971_,345_1971,SEP,27,05:59:55.8,NZ-NS,73.39300,54.92000,
382,1971_,346_Globus-2_1971,OCT,4,10:00:00.1,-RU-A,61.35800,48.09200,
383,1971_,347_1971,OCT,9,06:02:59.7,STS-SU,49.97789,77.64144,
384,1971_,348_1971,OCT,21,06:02:59.7,STS-SU,49.97381,77.59733,
385,1971_,349_Sapfir-1_1971,OCT,22,05:00:01.0,-RU-O,51.60000,54.45000,
386,1971_,350_1971,NOV,29,06:02:59.9,STS-D,49.73778,78.08139,
387,1971_,350_1971,NOV,29,06:02:59.9,STS-D,49.73778,78.08139,
388,1971_,351_1971,DEC,15,07:53:59.8,STS-D,49.83056,77.99333,
389,1971_,352_Galit_1971,DEC,22,06:59:59.0,-KZ-BA,47.89700,48.13300,
390,1971_,353_1971,DEC,30,06:21:00.2,STS-D,49.74917,78.00611,
391,1971_,354_1971,DEC,30,06:21,STS-D,49.75500,78.04750,
392,1972_,355_1972,FEB,10,05:03:00.0,STS-B,50.02428,78.87808,
393,1972_,356_1972,MAR,10,04:56:59.8,STS-D,49.75194,78.11806,
394,1972_,356_1972,MAR,10,04:56:59.8,STS-D,49.75194,78.11806,
395,1972_,357_1972,MAR,28,04:22:00.1,STS-D,49.73417,78.08250,
396,1972_,357_1972,MAR,28,04:22:00.1,STS-D,49.73417,78.08250,
397,1972_,357_1972,MAR,28,04:22:00.1,STS-D,49.73417,78.08250,
398,1972_,358_Crater_1972,APR,11,06:00:01.9,-TU,37.35000,62.05000,
399,1972_,359_1972,APR,20,00:00:00.0,STS-D,49.84167,78.10722,
400,1972_,360_1972,JUN,7,01:28,STS-D,49.83167,78.10944,
