SERIES,SHOT,YEAR,MON,LAT,LONG,HOB,TYPE,PUR,CRAT,DEVIC,WARHEAD
Whetston,Petrel,1965,JUN,37.04281,-116.01703,-180.75,UG-S,WR,88,,
Whetston,Organdy,1965,JUN,37.11578,-116.02326,-169.47,UG-S,WR,,Ci,
Whetston,Diluted Waters,1965,JUN,36.81806,-115.95606,-190.5,UG-S,WE,137,kCi,
Whetston,Tiny Tot,1965,JUN,37.22342,-116.05697,-110.95,UG-T,WE,,i,
Flintloc,Izzer,1965,JUL,37.115,-116.03217,-163.68,UG-S,WR,,,
Flintloc,Pongee,1965,JUL,37.13179,-116.06686,-135.03,UG-S,WR,,i,
Flintloc,Bronze,1965,JUL,37.09786,-116.033,-530.96,UG-S,WR,320,kCi,
Flintloc,Mauve,1965,AUG,37.01767,-116.03983,-321,UG-S,WR,160,,
Flintloc,Ticking,1965,AUG,37.11263,-116.02602,-210.31,UG-S,WR,,kCi,
Flintloc,Centaur,1965,AUG,37.13731,-116.07008,-171.91,UG-S,WR,20,Ci,
Flintloc,Moa,1965,SEP,37.037,-116.015,,UG-S,WR,,,
Flintloc,Screamer,1965,SEP,37.023,-116.00897,-301.9,UG-S,WE,154,kCi,
Flintloc,Elkhart,1965,SEP,37.11103,-116.03461,-219.46,UG-S,WR,126,Ci,
Flintloc,Long Shot,1965,OCT,51.4381,179.1826,-700,UG-S,VU,,,
Flintloc,Sepia,1965,NOV,37.04997,-116.02208,-241.19,UG-S,WR,139,,
Flintloc,Kermet,1965,NOV,37.16189,-116.07092,-198.12,UG-S,WR,30,Ci,
Flintloc,Corduroy,1965,DEC,37.16475,-116.05233,-681.53,UG-S,WR,240,kCi,
Flintloc,Emerson,1965,DEC,37.14084,-116.06318,-259.87,UG-S,WR,76,Ci,
Flintloc,Buff,1965,DEC,37.0726,-116.0291,-500.41,UG-S,WR,391,,
Flintloc,Maxwell,1966,JAN,37.11622,-116.02753,-183.09,UG-S,WR,,i,
Flintloc,Lampblack,1966,JAN,37.09169,-116.01869,-561.48,UG-S,WR,,,
Flintloc,Sienna,1966,JAN,37.03733,-116.01843,-275.01,UG-S,WR,100,,
Flintloc,Dovekie,1966,JAN,37.03172,-116.01575,-333.05,UG-S,WR,141,,
Flintloc,Reo,1966,JAN,37.15721,-116.03869,-213.36,UG-S,WR,,Ci,
Flintloc,Plaid II,1966,FEB,37.12631,-116.06947,-270.05,UG-S,WR,79,i,
Flintloc,Rex,1966,FEB,37.27183,-116.43383,-671.69,UG-S,WR,,Ci,
Flintloc,Red Hot,1966,MAR,37.1745,-116.20836,-405.38,UG-T,WE,,Ci,
Flintloc,Finfoot,1966,MAR,37.03739,-116.02939,-195.54,UG-S,WR,124,,
Flintloc,Cinnamon,1966,MAR,37.035,-116.032,,UG-S,SE,,,
Flintloc,Clymer,1966,MAR,37.14367,-116.05253,-397.09,UG-S,WR,88,Ci,
Flintloc,Purple,1966,MAR,37.00925,-116.00908,-332.79,UG-S,WR,140,,
Flintloc,Templar,1966,MAR,37.11333,-116.03136,-151,UG-S,PR,,,
Flintloc,Lime,1966,APR,37.10269,-116.01994,-561.44,UG-S,WR,,,
Flintloc,Stutz,1966,APR,37.13953,-116.14086,-225.34,UG-S,WR,118,i,
Flintloc,Tomato,1966,APR,37.01742,-115.99222,-226.31,UG-S,WR,134,,
Flintloc,Duryea,1966,APR,37.24267,-116.43086,-544.25,UG-S,WR,,i,
Flintloc,Fenton,1966,APR,37.16054,-116.08287,-167.64,UG-S,WR,,kCi,
Flintloc,Pin Stripe,1966,APR,36.88744,-115.94072,-295.66,UG-S,WE,,kCi,
Flintloc,Ochre,1966,APR,37.04367,-116.02249,-126.14,UG-S,SE,,,
Flintloc,Traveler,1966,MAY,37.13706,-116.13714,-196.76,UG-S,WR,58,Ci,
Flintloc,Cyclamen,1966,MAY,37.05061,-116.03786,-304.97,UG-S,WR,167,,
Flintloc,Chartreuse,1966,MAY,37.348,-116.32194,-666.75,UG-S,WR,,,
Flintloc,Tapestry,1966,MAY,37.13428,-116.07111,-247.19,UG-S,WR,90,kCi,
Flintloc,Piranha,1966,MAY,37.08686,-116.03344,-548.72,UG-S,WR,365,,
Flintloc,Dumont,1966,MAY,37.11114,-116.05792,-670.77,UG-S,WR,370,Ci,
Flintloc,Discus Thrower,1966,MAY,37.17839,-116.09775,-337.06,UG-S,WE,291,,
Flintloc,Pile Driver,1966,JUN,37.2271,-116.0555,-462.69,UG-S,WE,,kCi,
Flintloc,Tan,1966,JUN,37.0684,-116.0353,-560.68,UG-S,WR,415,,
Flintloc,Puce,1966,JUN,37.05942,-116.03881,-485.55,UG-S,WR,,,
Flintloc,Double Play,1966,JUN,37.0097,-116.2024,-327.7,UG-S,WE,,kCi,
Flintloc,Kankakee,1966,JUN,37.17153,-116.04886,-455.25,UG-S,WR,400,Ci,
Flintloc,Vulcan,1966,JUN,37.15531,-116.07217,-322.11,UG-S,PR,160,Ci,
Flintloc,Halfbeak,1966,JUN,37.31581,-116.29897,-819.3,UG-S,WR,400,,
Latchkey,Saxon,1966,JUL,37.14033,-116.09886,-153.04,UG-S,PR,,Ci,
Latchkey,Rovena,1966,AUG,37.16867,-116.04772,-195.25,UG-S,WR,35,i,
Latchkey,Tangerine,1966,AUG,37.04631,-116.02932,-87.88,UG-S,SE,,,
Latchkey,Derringer,1966,SEP,36.87694,-115.95061,-255.12,UG-S,WE,,kCi,
Latchkey,Daiquiri,1966,SEP,37.02094,-116.03639,-561.15,UG-S,WR,,,
Latchkey,Newark,1966,SEP,37.16867,-116.04606,-228.63,UG-S,WR,80,Ci,
Latchkey,Khaki,1966,OCT,37.04707,-116.01698,-232.55,UG-S,WR,,,
Latchkey,Simms,1966,NOV,37.16994,-116.04722,-198.15,UG-S,PR,58,Ci,
